id,title,year,genre,description,difficulty
1,Sholay,1975,Action/Drama,Two ex-convicts are hired by a retired cop to capture a ruthless bandit.,easy
2,Dangal,2016,Sports/Drama,A former wrestler trains his daughters to become world-class wrestlers.,easy
3,Pushpa: The Rise,2021,Action/Crime,A laborer rises through the ranks of a red sandalwood smuggling syndicate.,medium
4,Baahubali,2015,Fantasy/Action,A brave man learns about his royal heritage and seeks to reclaim his kingdom.,easy
5,3 Idiots,2009,Comedy/Drama,Two friends search for their long-lost companion while recalling college days.,easy
6,Lagaan,2001,Sports/Drama,Villagers bet their future on a game of cricket against British officers.,easy
7,PK,2014,Sci-Fi/Comedy,An alien stranded on Earth asks innocent questions that challenge religion.,easy
8,KGF: Chapter 1,2018,Action/Crime,A high-profile assassin goes undercover as a slave in a gold mine.,medium
9,Kabir Singh,2019,Romance/Drama,A brilliant surgeon spirals into self-destruction after losing his love.,easy
10,Queen,2013,Comedy/Drama,A girl goes on her honeymoon alone after her fiancé cancels the wedding.,easy
11,Drishyam,2015,Thriller,A common man uses his knowledge of films to protect his family from a crime.,easy
12,Andhadhun,2018,Thriller/Comedy,A piano player pretending to be blind gets caught in a murder mystery.,easy
13,Bajrangi Bhaijaan,2015,Drama/Action,A man tries to reunite a mute Pakistani girl with her family across the border.,medium
14,Stree,2018,Horror/Comedy,A town lives in fear of a spirit that kidnaps men at night during a festival.,easy
15,Dilwale Dulhania Le Jayenge,1995,Romance,A young man tries to win over the conservative father of the girl he loves.,hard
16,Jawan,2023,Action,A man sets out to rectify the wrongs in society with a team of women.,easy
17,Pathaan,2023,Action/Spy,An exiled RAW agent comes back to stop a private terror group.,easy
18,Animal,2023,Action/Crime,A son's obsessive love for his father leads to a violent underworld war.,easy
19,Lage Raho Munna Bhai,2006,Comedy/Drama,"A local goon starts seeing Mahatma Gandhi and uses ""Gandhigiri"" to solve problems.",medium
20,Chak De! India,2007,Sports,A disgraced hockey player coaches the Indian women's team to victory.,medium
21,Gadar: Ek Prem Katha,2001,Action/Drama,A truck driver falls in love with a Muslim girl during the partition of India.,medium
22,Bhool Bhulaiyaa,2007,Horror/Comedy,"A psychologist is called to a palace to solve a mystery involving a ""ghost.""",medium
23,Zindagi Na Milegi Dobara,2011,Drama/Adventure,Three friends go on a road trip in Spain and face their deepest fears.,hard
24,Barfi!,2012,Romance/Comedy,The story of a mute man and his relationship with two beautiful women.,easy
25,Kantara,2022,Action/Thriller,A forest officer and a local rebel clash over land and ancient tradition.,easy
26,Dhurandhar,2025,Action,A high-octane revenge saga that broke box office records in late 2025.,easy
27,RRR,2022,Action/Drama,Two revolutionaries join forces to fight British colonialists in the 1920s.,easy
28,Leo,2023,Action/Thriller,A mild-mannered cafe owner is targeted by a gang who thinks he's a former hitman.,easy
29,Singham,2011,Action,An honest police officer takes on a corrupt politician in a small town.,easy
30,Dhoom,2004,Action/Thriller,A cop and a mechanic team up to catch a high-speed gang of bikers.,easy
31,Ra.One,2011,Sci-Fi/Action,A game developer’s virtual villain enters the real world to find his creator’s son.,easy
32,Koi... Mil Gaya,2003,Sci-Fi/Drama,A developmentally disabled man befriends an alien who gives him superpowers.,medium
33,Makhhi,2012,Fantasy/Action,A man is murdered and reincarnated as a housefly to seek revenge on his killer.,easy
34,Robot (Enthiran),2010,Sci-Fi/Action,A scientist builds a humanoid robot that eventually falls in love with his girlfriend.,medium
35,Sita Ramam,2022,Romance/Drama,An orphan soldier's life changes when he receives a letter from a girl named Sita.,easy
36,Jailer,2023,Action/Crime,A retired prison warden goes on a mission to rescue his son from a gang.,easy
37,Fighter,2024,Action,Top IAF pilots unite to face imminent danger while battling internal demons.,easy
38,Kalki 2898 AD,2024,Sci-Fi/Epic,A modern avatar of Vishnu descends to Earth to protect the world from evil.,medium
39,Stree 2,2024,Horror/Comedy,The residents of Chanderi face a new headless ghost; sequel to the 2018 hit.,easy
40,Munna Bhai M.B.B.S.,2003,Comedy,A gangster pretends to be a doctor to fulfill his father's dream.,medium
41,Gadar 2,2023,Action/Drama,Tara Singh ventures back into Pakistan to rescue his imprisoned son.,easy
42,Bhool Bhulaiyaa 3,2024,Horror/Comedy,Rooh Afza returns to a haunted mansion to deal with a new supernatural threat.,medium
43,Singham Again,2024,Action,Bajirao Singham returns with a massive cop universe team to take down a cult.,medium
44,Jab We Met,2007,Romance/Comedy,A depressed businessman's life changes after meeting a bubbly girl on a train.,medium
45,Chhichhore,2019,Drama/Comedy,"Friends reunite in a hospital and recall their ""loser"" college days to help a kid.",easy
46,Salar: Part 1,2023,Action,A gang leader tries to keep a promise to his dying friend by taking on criminal gangs.,medium
47,Vikram,2022,Action/Thriller,"A high-octane chase involving a special agent, a drug lord, and a mysterious masked man.",easy
48,Master,2021,Action,"An alcoholic professor is sent to a juvenile school, where he clashes with a ruthless gangster.",easy
49,KGF: Chapter 2,2022,Action/Crime,"Rocky, now the king of Kolar Gold Fields, must defend his empire against adversaries and the government.",medium
50,Border 2,2026,War/Action,"A modern sequel to the 1997 classic, focusing on a new generation of soldiers at the border.",easy
51,Drishyam 3,2026,Thriller,The continuation of the Salgaonkar family's saga as past secrets resurface to haunt them.,easy
52,Ramayana,2026,Mythological,A grand cinematic retelling of the ancient Indian epic featuring high-end visual effects.,easy
53,Happy Patel,2026,Comedy/Spy,A quirky detective finds himself in the middle of a high-stakes international conspiracy.,easy
54,King,2026,Action/Drama,Shah Rukh Khan stars in a high-octane father-daughter survival story.,easy
55,Brahmāstra: Part 2,2026,Fantasy/Action,"The Astraverse expands as the powerful ""Dev"" rises to challenge Shiva.",medium
56,Welcome To The Jungle,2026,Comedy/Action,"A massive ensemble cast gets stranded in a hilarious, dangerous jungle.",hard
57,Kick 2,2026,Action/Comedy,"Salman Khan’s ""Devil"" returns for another high-speed adrenaline rush.",easy
58,No Entry 2,2026,Comedy,The sequel to the cult hit involving mistaken identities and chaotic wives.,medium
59,Dhoom 4,2026,Action/Crime,A new thief and a familiar cop engage in a high-tech international chase.,easy
60,Sarkar Raj,2008,Crime/Drama,A powerful political family deals with internal betrayal and corporate greed.,easy
61,Main Hoon Na,2004,Action/Masala,An army officer goes undercover as a student to protect a general's daughter.,medium
62,Krrish,2006,Sci-Fi/Superhero,A young man with inherited powers travels to Singapore to rescue his father.,easy
63,Dhoom 2,2006,Action/Heist,A master of disguise steals rare artifacts while being chased by a super-cop.,easy
64,Race,2008,Thriller/Action,"Two brothers compete in a high-stakes game of betrayal, murder, and fast cars.",easy
65,Bhooth Bangla,2026,Horror/Comedy,Akshay Kumar returns to the horror-comedy genre in a haunted mansion.,medium
66,Toxic,2026,Action/Thriller,A high-stakes action saga starring Yash (from KGF fame).,easy
67,Hera Pheri 3,2026,Comedy,"The legendary trio of Raju, Shyam, and Baburao return for a new scam.",medium
68,Mardaani 3,2026,Crime/Action,Shivani Shivaji Roy takes on her most dangerous case yet.,easy
69,Sivaji: The Boss,2007,Action/Drama,A software engineer returns to India to help society but faces corruption.,medium
70,I (Ai),2015,Romance/Thriller,A disfigured former bodybuilder seeks revenge on those who ruined his life.,easy
71,Magadheera,2009,Fantasy/Action,A stunt biker recalls his past life as a warrior protecting a princess.,easy
72,Don,1978/2006,Action/Thriller,A lookalike is sent undercover to infiltrate a powerful criminal empire.,easy
73,Karan Arjun,1995,Action/Drama,Two brothers are reincarnated to take revenge on their greedy uncle.,easy
74,Mohabbatein,2000,Romance/Drama,A music teacher challenges a strict principal's anti-romance policies.,easy
75,Kal Ho Naa Ho,2003,Romance/Drama,A man with a fatal secret tries to set up the girl he loves with his best friend.,medium
76,Om Shanti Om,2007,Fantasy/Masala,A junior artist is reincarnated as a superstar to avenge his past lover's death.,medium
77,Bodyguard,2011,Action/Romance,A bodyguard falls in love with the girl he is protecting over secret phone calls.,easy
78,Ghajini,2008,Action/Thriller,A man with short-term memory loss uses tattoos and notes to hunt a killer.,easy
79,Dabangg,2010,Action/Comedy,A fearless but corrupt police officer deals with family and a local politician.,easy
80,Kick,2014,Action/Heist,"A man who lives for ""kicks"" becomes a masked thief to help sick children.",easy
81,Sultan,2016,Sports/Drama,A middle-aged wrestler tries to make a comeback to win back his wife’s respect.,easy
82,War,2019,Action/Spy,An Indian agent goes rogue and his student is tasked with hunting him down.,easy
83,Brahmāstra,2022,Fantasy/Action,A DJ discovers he has a connection to fire and a secret society of protectors.,easy
84,Baazigar,1993,Thriller,A cold-blooded man seduces the daughters of the businessman who ruined his family.,easy
85,Border,1997,War/Drama,A small battalion of Indian soldiers defends their post against a massive army.,easy
86,Darr,1993,Psychological Thriller,An obsessed man stalks a woman who is engaged to a naval officer.,easy
87,Padmaavat,2018,Period Drama,A tyrant sultan leads a war to capture a beautiful queen from her kingdom.,easy
88,Tanhaji,2020,Action/History,A Maratha warrior leads a daring mission to recapture a strategic fort.,easy
89,Sanju,2018,Biography/Drama,The controversial and chaotic life of Bollywood superstar Sanjay Dutt.,easy
90,Super 30,2019,Biography/Drama,A brilliant mathematician starts a program to coach underprivileged students.,easy
91,Agneepath,2012,Action/Crime,A young man seeks revenge against the man who lynched his father years ago.,easy
92,Krrish 3,2013,Superhero/Action,Krishna must save the world from a man-made virus and a team of mutants.,easy
93,Bang Bang!,2014,Action/Adventure,A bank receptionist gets caught up in a globe-trotting chase with a thief.,easy
94,Ek Tha Tiger,2012,Spy/Action,An Indian spy falls in love with a Pakistani agent during a mission in Dublin.,medium
95,Rustom,2016,Crime/Drama,A naval officer is put on trial for murdering his wife’s lover.,easy
96,Mission Mangal,2019,Drama/Sci-Fi,A team of scientists works against the odds to launch India's Mars mission.,medium
97,Good Newwz,2019,Comedy/Drama,"Two couples with the same last name undergo IVF, resulting in a sperm mix-up.",easy
98,Baby,2015,Action/Spy,An elite counter-intelligence unit hunts down terrorists planning an attack.,easy
99,Holiday,2014,Action/Thriller,An army officer on vacation uncovers a network of sleeper cells in Mumbai.,easy
100,Singham Returns,2014,Action/Crime,Singham fights black money and corruption within the political system.,medium
101,Baaghi,2016,Action,A martial arts student fights a powerful gangster to rescue his girlfriend.,easy
102,Badri Ki Dulhania,2017,Romance/Comedy,A boy from a traditional family falls for an ambitious girl who wants to work.,medium
103,Ae Dil Hai Mushkil,2016,Romance/Drama,A story about unrequited love and the complexities of friendship.,medium
104,Hichki,2018,Drama,A teacher with Tourette syndrome tries to turn a group of rebels into winners.,easy
105,Secret Superstar,2017,Musical/Drama,A talented girl dreams of being a singer but must hide her identity.,medium
106,Toilet: Ek Prem Katha,2017,Social/Romance,A man fights for proper sanitation in his village to keep his wife from leaving.,medium
107,Raazi,2018,Spy/Thriller,An Indian girl is married into a Pakistani military family to act as a spy.,easy
108,Uri: The Surgical Strike,2019,War/Action,Indian special forces carry out a retaliatory strike against terrorist camps.,hard
109,Dream Girl,2019,Comedy,A man gets a job at a female friendship call center using a woman's voice.,easy
110,Bala,2019,Comedy/Satire,A young man suffers from premature balding and tries every possible cure.,easy
111,OMG: Oh My God!,2012,Satire/Comedy,An atheist sues God after his shop is destroyed in an earthquake.,medium
112,Drishyam 2,2022,Thriller,"Six years later, the investigation into the missing boy is reopened.",easy
113,Vikram Vedha,2022,Action/Crime,A tough cop tracks down a gangster who tells him stories that change his view.,medium
114,Tu Jhoothi Main Makkaar,2023,Romance/Comedy,"A ""break-up consultant"" falls for a girl but realizes she is his next client.",hard
115,Rocky Aur Rani,2023,Romance/Family,Two polar opposites live with each other’s families before getting married.,medium
116,Sam Bahadur,2023,Biography/War,"The life and career of Sam Manekshaw, India's first Field Marshal.",easy
117,Dunki,2023,Drama/Comedy,Four friends use an illegal backdoor entry to immigrate to London.,easy
118,Merry Christmas,2024,Mystery,"Two strangers meet on Christmas Eve, but the night turns into a nightmare.",medium
119,Article 370,2024,Political/Thriller,A field agent is sent on a secret mission after the special status is revoked.,easy
120,Crew,2024,Comedy/Heist,Three air hostesses get caught in a web of lies and a gold smuggling plot.,easy
121,Shaitaan,2024,Horror/Thriller,A family is held hostage in their home by a man using black magic.,easy
122,Munjya,2024,Horror/Comedy,A young man is haunted by a spirit that wants him to get it married.,easy
123,Bad Newz,2024,Comedy,A rare medical case leads to a woman carrying twins from two different fathers.,easy
124,Vicky Vidya Ka Woh Wala Video,2024,Comedy,A couple in the 90s loses a private CD and goes on a wild hunt to find it.,hard
125,Housefull 5,2025,Comedy,The confusion continues on a cruise ship with a massive ensemble cast.,easy
126,War 2,2025,Action/Spy,Two elite agents from different countries are forced into a deadly game.,easy
127,Alpha,2025,Action/Spy,The first female-led film in the YRF Spy Universe.,easy
128,Baghban,2003,Drama/Family,An elderly couple is separated by their children and must find their own way.,easy
129,Partner,2007,Comedy/Romance,"A ""Love Guru"" helps a shy man win the heart of a wealthy businesswoman.",easy
130,Race 2,2013,Thriller/Action,A man plans an elaborate heist to avenge the death of his girlfriend.,easy
131,Tiger Zinda Hai,2017,Spy/Action,Two secret agents team up to rescue a group of nurses held hostage by terrorists.,medium
132,Bajirao Mastani,2015,Romance/History,The epic tale of the romance between a Maratha General and a warrior princess.,medium
133,Chennai Express,2013,Comedy/Action,A man traveling to Rameshwaram gets caught up with a local don's daughter.,medium
134,Rowdy Rathore,2012,Action/Comedy,A small-time crook discovers he has a police officer lookalike.,medium
135,Dabangg 2,2012,Action/Comedy,Chulbul Pandey moves to a new city and faces off against a corrupt politician.,easy
136,Wanted,2009,Action/Crime,A lethal hitman is caught between two warring gangs and the police.,easy
137,Ready,2011,Comedy/Romance,A man helps a girl escape from her greedy uncles who want her inheritance.,easy
138,Housefull 2,2012,Comedy,Four fathers-in-law and four sons-in-law create a web of lies and confusion.,easy
139,Singam,2011,Action/Crime,A small-town cop is transferred to the city and takes on a powerful gangster.,easy
140,Bol Bachchan,2012,Comedy/Action,A man lies about his identity to a powerful village head to get a job.,medium
141,Son of Sardaar,2012,Comedy/Action,A man returns to his ancestral village and gets caught in a long-standing feud.,medium
142,Student of the Year,2012,Romance/Drama,Competitive students at a high school battle for a prestigious trophy.,medium
143,Yeh Jawaani Hai Deewani,2013,Romance/Drama,Two former classmates find love while on a trekking trip in Manali.,hard
144,Aashiqui 2,2013,Musical/Romance,A famous singer helps a talented girl find fame while he spirals into alcoholism.,easy
145,Bhaag Milkha Bhaag,2013,Sports/Biography,"The true story of the ""Flying Sikh"" and his journey to become a champion.",medium
146,Holiday: A Soldier Is Never Off Duty,2014,Action/Thriller,An army officer on vacation uncovers a network of sleeper cells in Mumbai.,hard
147,Gabbar Is Back,2015,Action/Crime,A man forms his own vigilante group to systematically eliminate corrupt officials.,medium
148,ABCD 2,2015,Dance/Drama,A dance troupe travels to Las Vegas to compete in a world championship.,easy
149,Prem Ratan Dhan Payo,2015,Family/Drama,A lookalike replaces a prince days before his coronation to protect him.,medium
150,Dilwale,2015,Action/Romance,Two sets of siblings fall in love despite their families' violent pasts.,easy
151,Airlift,2016,History/Drama,A businessman leads the evacuation of Indians stranded in Kuwait during the war.,easy
152,M.S. Dhoni: The Untold Story,2016,Sports/Biography,The life journey of India's most successful cricket captain.,hard
153,Jolly LLB 2,2017,Comedy/Law,A small-time lawyer takes on a powerful attorney in a high-profile murder case.,medium
154,Raees,2017,Action/Crime,A bootlegger in Gujarat builds an empire while being chased by a stubborn cop.,easy
155,Badrinath Ki Dulhania,2017,Romance/Comedy,A boy from a traditional family tries to win over an independent-minded girl.,medium
156,Hindi Medium,2017,Comedy/Drama,Parents go to extreme lengths to get their daughter into a top private school.,medium
157,Golmaal Again,2017,Horror/Comedy,Five orphan friends return to their old neighborhood and encounter a ghost.,medium
158,Padman,2018,Social/Biography,A man creates a low-cost sanitary pad machine to help women in his village.,easy
159,Badhaai Ho,2018,Comedy/Drama,A middle-aged couple faces social stigma when the mother gets pregnant.,easy
160,Gully Boy,2019,Musical/Drama,An aspiring rapper from the slums of Mumbai fights to find his voice.,easy
161,Kesari,2019,War/History,"21 Sikh soldiers defend their post against 10,000 Afghan invaders.",easy
162,Housefull 4,2019,Comedy/Fantasy,Three brothers discover they are reincarnated and must find their true lovers.,easy
163,Tanhaji: The Unsung Warrior,2020,History/Action,A Maratha warrior leads a daring mission to capture the Kondhana fort.,hard
164,Sooryavanshi,2021,Action/Crime,Anti-Terrorism Squad chief works to prevent a massive attack on Mumbai.,easy
165,83,2021,Sports/Biography,The story of India's incredible victory at the 1983 Cricket World Cup.,easy
166,The Kashmir Files,2022,History/Drama,A student discovers the dark truth about his family's exodus from Kashmir.,medium
167,Bhool Bhulaiyaa 2,2022,Horror/Comedy,A man pretends to be a psychic to help a girl but encounters a real ghost.,medium
168,Jugjugg Jeeyo,2022,Family/Comedy,A father and son both plan to divorce their wives during a family wedding.,medium
169,Brahmāstra: Part One – Shiva,2022,Fantasy/Action,A DJ discovers he has the power to control fire and must protect the world.,hard
170,Bhediya,2022,Horror/Comedy,A man transforms into a werewolf after being bitten by a mystical wolf in Arunachal.,easy
171,Zara Hatke Zara Bachke,2023,Romance/Comedy,A couple fakes a divorce to get a flat under a government scheme.,hard
172,Dream Girl 2,2023,Comedy,A man pretends to be a woman named Pooja to earn money for his wedding.,medium
173,Tiger 3,2023,Spy/Action,Tiger and Zoya are framed as traitors and must go on a mission to clear their names.,easy
174,Teri Baaton Mein Aisa Uljha Jiya,2024,Sci-Fi/Romance,"A man falls in love with a woman, only to realize she is a highly advanced robot.",hard
175,Laapataa Ladies,2024,Comedy/Drama,Two young brides get accidentally swapped during a train journey.,medium
176,Maidaan,2024,Sports/Biography,"The story of Syed Abdul Rahim, the architect of modern Indian football.",easy
177,Srikanth,2024,Biography/Drama,The life of visually impaired entrepreneur Srikanth Bolla.,easy
178,The Buckingham Murders,2024,Mystery/Thriller,A grieving detective investigates the murder of a child in a small UK town.,hard
179,Jigra,2024,Action/Drama,A sister goes on a dangerous mission to rescue her brother from a foreign prison.,easy
180,Baby John,2024,Action/Thriller,A former cop goes into hiding but must come back to protect his daughter.,easy
181,Fateh,2025,Action/Thriller,A high-tech thriller about an agent fighting cybercrime on a global scale.,easy
182,The Raja Saab,2025,Horror/Comedy,A man discovers a supernatural presence in his ancestral palace.,medium
183,Sikandar,2025,Action/Drama,A man with a mysterious past takes on a powerful criminal organization.,easy
184,Kantāra,2022,Action/Thriller,A conflict between humans and nature involving local folklore and deities.,easy
185,Bareilly Ki Barfi,2017,Romance/Comedy,A girl looks for the author of a book she loves and finds a complex love triangle.,medium
186,Newton,2017,Drama/Comedy,A government clerk tries to conduct free elections in a conflict-prone jungle.,easy
187,Vicky Donor,2012,Comedy/Romance,A young man becomes a sperm donor to earn money but faces marriage issues.,easy
188,Hera Pheri,2000,Comedy,Three roommates get a wrong phone call and decide to use it for a ransom.,easy
189,Article 15,2019,Crime/Drama,A police officer investigates the disappearance of three girls in rural India.,easy
190,Masaan,2015,Drama,Two parallel stories in Varanasi exploring social stigma and loss.,easy
191,Udaan,2010,Drama,A teenager returns to his oppressive father after being expelled from school.,easy
192,Tumbbad,2018,Horror/Fantasy,A family's greed leads them to a cursed treasure protected by a fallen god.,easy
193,Ajab Prem Ki Ghazab Kahani,2009,Romance/Comedy,A happy-go-lucky boy falls in love with a girl who loves someone else.,hard
194,Kabhi Khushi Kabhie Gham,2001,Family/Drama,A wealthy family is torn apart when the eldest son marries a middle-class girl.,hard
195,Main Prem Ki Diewani Hoon,2003,Romance/Comedy,"A girl is mistaken about which ""Prem"" her parents have chosen for her.",hard
196,Detective Byomkesh Bakshy!,2015,Mystery,A fresh graduate investigates a disappearance in 1940s war-torn Calcutta.,hard
197,Pyaar Ka Punchnama,2011,Comedy/Romance,Three roommates find their lives turning into a nightmare after falling in love.,medium
198,Mere Dad Ki Maruti,2013,Comedy,A boy loses his father's brand new car right before his sister's wedding.,medium
199,Gangs of Wasseypur,2012,Crime/Action,A multi-generational saga of a coal mafia power struggle in Dhanbad.,medium
200,Haseena Maan Jaayegi,1999,Comedy,Two brothers play pranks on their father to win over their girlfriends' dad.,medium
201,Once Upon a Time in Mumbaai,2010,Crime/Drama,The rise of a smuggler in the 70s and his clash with a rising young protégé.,hard
202,Aamdani Atthanni Kharcha Rupaiya,2001,Comedy/Social,Three housewives struggle to make ends meet while their husbands waste money.,hard
203,Kahaani,2012,Thriller,A pregnant woman searches for her missing husband in Kolkata during Durga Puja.,easy
204,Ratsasan,2018,Crime/Thriller,An aspiring filmmaker turned cop tracks a serial killer who targets schoolgirls.,easy
205,Khosla Ka Ghosla,2006,Comedy/Drama,A middle-class family tries to reclaim their land from a corrupt property dealer.,medium
206,Bheja Fry,2007,Comedy,A tax inspector who loves to talk ruins the life of a music producer in one night.,easy
207,Special 26,2013,Heist/Thriller,A team of con artists poses as CBI officers to conduct fake income tax raids.,easy
208,Aparichit (Anniyan),2005,Action/Thriller,A lawyer with multiple personality disorder punishes corrupt people based on Garuda Purana.,medium
209,Haider,2014,Crime/Drama,A young man returns to Kashmir to seek answers about his father's disappearance.,easy
210,Ponniyin Selvan: I,2022,Historical/Epic,A power struggle ensues within the Chola Empire in the 10th century.,medium
211,The Sabarmati Report,2024,Drama/Thriller,A journalist uncovers the truth behind a tragic historical event.,medium
212,Rocky Aur Rani Kii Prem Kahaani,2023,Romance/Family,Two polar opposite people live with each other's families before getting married.,hard
213,"Monica, O My Darling",2022,Neo-Noir/Comedy,A clever robotics expert joins a murderous plot after a lustful affair.,medium
214,Badla,2019,Mystery/Thriller,A young businesswoman and her lawyer try to figure out how she ended up in a locked room with a dead body.,easy
215,Pati Patni Aur Woh 2,2026,Comedy,"A sequel exploring the hilarious complications of a man caught between his wife and a ""new"" interest.",hard
216,Vvan: Force of the Forrest,2026,Action/Thriller,A story focused on the survival and battle of a group against forces within a dense forest.,hard
217,Awarapan 2,2026,Drama/Action,"A spiritual successor to the original, focusing on themes of redemption and tragic love.",easy
218,Dhurandhar: The Revenge,2026,Crime/Spy,A high-stakes spy thriller involving a massive undercover operation and betrayal.,hard
219,Chand Mera Dil,2026,Romance,A deep romantic drama exploring the sacrifices made in the name of love in modern times.,medium
220,Khandani Shafakhana,2019,Comedy/Social,A girl inherits a sex clinic in a small town and tries to break social taboos.,medium
221,Stanley Ka Dabba,2011,Drama,A schoolboy who doesn't bring his own lunchbox faces trouble from a greedy teacher.,medium
222,36 China Town,2006,Mystery/Comedy,A group of strangers becomes suspects when a wealthy casino owner is found dead.,medium
223,Love & War,2026,Period/Drama,Sanjay Leela Bhansali's epic tale of romance set against a backdrop of war.,medium
224,Mirzapur: The Film,2026,Crime/Thriller,The hit web series moves to the big screen for a final battle for the throne.,medium
225,Bhediya 2,2026,Horror/Comedy,The werewolf saga continues as Bhaskar faces a new supernatural predator.,easy
226,Luv Shuv Tey Chicken Khurana,2012,Comedy/Food,A man searches for his grandfather's secret recipe to save the family dhaba.,hard
227,Phas Gaye Re Obama,2010,Satire/Comedy,"A victim of the US recession gets kidnapped by a gang of ""recessed"" Indian goons.",medium
228,Kissa Court Kachehari Ka,2026,Drama,A realistic and satirical look at the Indian legal system.,hard
229,Bhavesh Joshi Superhero,2018,Action,A young man becomes a vigilante to fight local corruption in Mumbai.,hard
230,Aam dani Atthanni Kharcha Rupaiya,2001,Comedy,Three families struggle with their low income and high expenses.,hard
