id,title,year,genre,description,difficulty,language
244,Django Unchained,2012,Western/Action,A freed slave teams up with a bounty hunter to rescue his wife from a plantation.,medium,english
245,The Hateful Eight,2015,Mystery/Western,Strangers seek shelter in a stagecoach stop during a blizzard and realize no one is safe.,medium,english
246,No Country for Old Men,2007,Crime/Thriller,"A hunter finds a briefcase full of money, triggering a chase by a relentless killer.",medium,english
247,There Will Be Blood,2007,Drama,A ruthless oilman's pursuit of wealth leads to his moral and physical decline.,medium,english
248,Inglourious Basterds,2009,War/Action,Jewish-American soldiers plan to assassinate Nazi leaders in occupied France.,medium,english
249,The Departed,2006,Crime/Thriller,An undercover cop and a mole in the police try to identify each other within a gang.,medium,english
250,American Psycho,2000,Thriller/Comedy,A wealthy investment banker hides his nocturnal bloodlust from his social circle.,medium,english
251,Memento,2000,Mystery/Thriller,A man with short-term memory loss uses tattoos and notes to find his wife's killer.,medium,english
252,Donnie Darko,2001,Sci-Fi/Drama,A troubled teenager is manipulated by a giant rabbit to commit a series of crimes.,medium,english
253,The Prestige,2006,Mystery/Drama,Two rival magicians in 19th-century London engage in a dangerous game of one-upmanship.,medium,english
254,Shutter Island,2010,Mystery/Thriller,A US Marshal investigates the disappearance of a patient from a remote mental asylum.,medium,english
255,Life of Pi,2012,Adventure/Drama,A young man survives a shipwreck and shares a lifeboat with a Bengal tiger.,medium,english
256,The Great Gatsby,2013,Romance/Drama,"A writer is drawn into the lavish world of his mysterious, wealthy neighbor.",medium,english
257,Les Misérables,2012,Musical/Drama,An ex-convict seeks redemption while being hunted by a ruthless police inspector.,medium,english
258,The Theory of Everything,2014,Biography/Drama,The life and relationship of physicist Stephen Hawking and his wife Jane.,medium,english
259,The Imitation Game,2014,Biography/Thriller,A mathematician leads a team to crack the Nazi Enigma code during World War II.,medium,english
260,Ford v Ferrari,2019,Sports/Drama,American car designers build a revolutionary race car to challenge Ferrari at Le Mans.,medium,english
261,Little Miss Sunshine,2006,Comedy/Drama,A dysfunctional family travels in a van to a child beauty pageant in California.,medium,english
262,Juno,2007,Comedy/Drama,A pregnant teenager decides to give her baby up for adoption to a wealthy couple.,medium,english
263,Lady Bird,2017,Comedy/Drama,A strong-willed high school student navigates a turbulent relationship with her mother.,medium,english
264,Moonlight,2016,Drama,A young Black man grows up in Miami while struggling with his identity and sexuality.,medium,english
265,Call Me by Your Name,2017,Romance/Drama,A 17-year-old boy falls in love with his father's research assistant in Italy.,medium,english
266,The Shape of Water,2017,Fantasy/Romance,A mute janitor at a secret laboratory falls in love with an amphibious creature.,medium,english
267,Everything Everywhere All at Once,2022,Sci-Fi/Comedy,A woman is swept into a multiverse adventure to save reality using her alternate selves.,medium,english
268,Banshees of Inisherin,2022,Comedy/Drama,Two lifelong friends find themselves at an impasse when one abruptly ends their bond.,medium,english
269,Promising Young Woman,2020,Thriller/Crime,A woman traumatized by her past seeks revenge against those who cross her path.,medium,english
270,CODA,2021,Drama/Music,"As a hearing child in a deaf family, a girl must choose between her family and music.",medium,english
271,The Power of the Dog,2021,Western/Drama,"A charismatic, cruel rancher torments his brother's new wife and her son.",medium,english
272,Tár,2022,Drama/Music,The downfall of a world-renowned conductor as her past behavior catches up with her.,medium,english
273,Poor Things,2023,Sci-Fi/Comedy,A young woman is brought back to life by a scientist and goes on a journey of discovery.,medium,english
274,Babylon,2022,Drama/History,A tale of outsized ambition and excess in the early days of Hollywood.,medium,english
275,Challengers,2024,Sports/Romance,A tennis pro turned coach finds herself in the middle of a rivalry between two former friends.,medium,english
276,Civil War,2024,Action/Thriller,A group of journalists travels across a dystopian America during a second civil war.,medium,english
277,A Complete Unknown,2024,Biography/Music,The story of Bob Dylan’s rise in the 1960s folk music scene in New York.,medium,english
278,The Bikeriders,2024,Crime/Drama,The rise and fall of a Midwestern motorcycle club in the 1960s.,medium,english
279,Longlegs,2024,Horror/Crime,An FBI agent hunts a serial killer while discovering a personal connection to him.,medium,english
280,Alien: Romulus,2024,Sci-Fi/Horror,Young space colonizers scavenge a derelict station and encounter the galaxy's deadliest lifeform.,medium,english
281,Anora,2024,Comedy/Drama,"A young sex worker from Brooklyn marries the son of a Russian oligarch, sparking chaos.",medium,english
282,Nosferatu,2024,Horror/Fantasy,A Gothic tale of obsession between a haunted young woman and a terrifying vampire.,medium,english
283,Conclave,2024,Thriller,A cardinal must manage the secret-filled election of a new Pope after a sudden death.,medium,english
284,The Piano Lesson,2024,Drama,A family in 1930s Pittsburgh argues over the fate of a prized heirloom piano.,medium,english
285,A Real Pain,2024,Comedy/Drama,Two cousins travel to Poland to honor their grandmother and end up clashing.,medium,english
286,Presence,2025,Horror/Thriller,A family moves into a suburban house and realizes they are not alone.,medium,english
287,Black Bag,2025,Spy/Thriller,A high-stakes spy thriller involving elite operatives and a global conspiracy.,medium,english
288,Michael,2025,Biography/Music,"The comprehensive life story of the King of Pop, Michael Jackson.",medium,english
289,Mickey 17,2025,Sci-Fi/Adventure,"An ""expendable"" employee on an ice world colony refuses to let his replacement take over.",medium,english
290,Sinners,2025,Horror/Action,"Two brothers return home to start fresh, only to find a greater evil waiting.",medium,english
291,The Battle of Baktan Cross,2025,Crime/Drama,A complex story of power and law in a town divided by secrets.,medium,english
292,Edrington,2026,Period/Drama,A grand historical drama about the rise of a powerful merchant family.,medium,english
293,Project Hail Mary,2026,Sci-Fi,An astronaut wakes up with no memory and must use science to save Earth from a threat.,medium,english
294,Weapon,2026,Action/Thriller,A high-octane thriller about a man who becomes a target after discovering a secret.,medium,english
295,Street Justice,2026,Action/Crime,A former cop takes the law into his own hands to clean up his neighborhood.,medium,english
296,The Last Voyage,2026,Adventure/Drama,A crew on a sailing vessel faces a supernatural storm in the middle of the Atlantic.,medium,english
297,Superbad,2007,Comedy,Two high school seniors plan a wild night to lose their virginity before graduating.,medium,english
298,Step Brothers,2008,Comedy,Two middle-aged men living at home are forced to become roommates when their parents marry.,medium,english
299,Bridesmaids,2011,Comedy,A woman's life unravels as she serves as the maid of honor for her best friend.,medium,english
300,Zombieland,2009,Comedy/Horror,A shy student joins a group of survivors on a road trip through a zombie-infested US.,medium,english
301,Pineapple Express,2008,Comedy/Action,A process server and his dealer go on the run from a hitman and a corrupt cop.,medium,english
302,Horrible Bosses,2011,Comedy/Crime,Three friends plot to murder their abusive employers with disastrous results.,medium,english
303,21 Jump Street,2012,Comedy/Action,Two underachieving cops go undercover as high school students to bust a drug ring.,medium,english
304,Magic Mike,2012,Comedy/Drama,A veteran male stripper takes a young performer under his wing.,medium,english
305,Silver Linings Playbook,2012,Romance/Drama,A man with bipolar disorder tries to win back his wife and meets a mysterious girl.,medium,english
306,The Perks of Being a Wallflower,2012,Romance/Drama,An introverted freshman is taken under the wings of two seniors who show him the world.,medium,english
307,The Fault in Our Stars,2014,Romance/Drama,Two teenage cancer patients fall in love after meeting in a support group.,medium,english
308,Me Before You,2016,Romance/Drama,"A girl becomes a caregiver for a wealthy, paralyzed man and changes his life.",medium,english
309,Crazy Rich Asians,2018,Romance/Comedy,A woman travels to Singapore to meet her boyfriend's family and realizes they are ultra-wealthy.,medium,english
310,Marriage Story,2019,Drama/Romance,"A stage director and his actor wife navigate a grueling, coast-to-coast divorce.",medium,english
311,A Star Is Born,2018,Musical/Romance,A seasoned musician discovers and falls in love with a struggling artist.,medium,english
312,Bohemian Rhapsody,2018,Biography/Music,The story of the legendary rock band Queen and their lead singer Freddie Mercury.,medium,english
313,Rocketman,2019,Biography/Musical,A musical fantasy about the breakthrough years of rock legend Elton John.,medium,english
314,Elvis,2022,Biography/Musical,The life and career of Elvis Presley from his childhood to becoming a superstar.,medium,english
315,Blade Runner 2049,2017,Sci-Fi/Drama,A young blade runner uncovers a long-buried secret that leads him to find Rick Deckard.,medium,english
316,Glass Onion,2022,Mystery/Comedy,Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island.,medium,english
317,Dunkirk,2017,War/Action,"Allied soldiers from Belgium, Britain, and France are surrounded by the German army.",medium,english
318,1917,2019,War/Drama,Two soldiers are given a mission to deliver a message deep in enemy territory.,medium,english
319,Kingsman: The Secret Service,2014,Action/Spy,A street kid is recruited into a secret spy organization to stop a global threat.,medium,english
320,JoJo Rabbit,2019,Comedy/War,A young boy in Nazi Germany finds out his mother is hiding a Jewish girl in their attic.,medium,english
321,Little Women,2019,Drama/Romance,The lives of four sisters in 19th-century Massachusetts as they navigate womanhood.,medium,english
322,Ex Machina,2014,Sci-Fi/Thriller,A programmer is invited to test the human qualities of a highly advanced humanoid AI.,medium,english
323,Killers of the Flower Moon,2023,Crime/Drama,Members of the Osage tribe are murdered under mysterious circumstances in the 1920s.,medium,english
324,Past Lives,2023,Romance/Drama,Two childhood friends are reunited in New York after decades apart.,medium,english
325,Anatomy of a Fall,2023,Mystery/Thriller,A woman is suspected of murder after her husband's death in the snow.,medium,english
326,The Zone of Interest,2023,War/Drama,The commandant of Auschwitz and his wife build a dream life for their family next to the camp.,medium,english
327,Society of the Snow,2023,Survival/Drama,The true story of the Uruguayan rugby team's survival after their plane crashed in the Andes.,medium,english
328,Kinds of Kindness,2024,Comedy/Drama,"An anthology film exploring power, faith, and control in modern relationships.",medium,english
329,Twisters,2024,Action/Adventure,A new generation of storm chasers risks their lives to test an experimental weather system.,medium,english
330,Beetlejuice Beetlejuice,2024,Fantasy/Comedy,The ghost with the most returns when three generations of the Deetz family come home.,medium,english
331,The Wild Robot,2024,Animation/Adventure,A robot is shipwrecked on a deserted island and must learn to survive with the animals.,medium,english
332,Gladiator II,2024,Action/Drama,"Lucius, the nephew of Commodus, is forced to enter the Colosseum to fight for Rome.",medium,english
333,A Minecraft Movie,2025,Adventure/Fantasy,A group of misfits is pulled through a portal into the blocky world of the Overworld.,medium,english
334,The President's Cake,2025,Drama/Social,A 9-year-old girl is selected to prepare a cake for the President in 1990s Iraq.,medium,english
335,All That's Left of You,2025,Drama/History,A Palestinian teenager is swept into a protest that changes his family's life forever.,medium,english
336,Jurassic World Rebirth,2025,Action/Sci-Fi,A team of experts uncovers a discovery that could change the fate of the planet.,medium,english
337,Avatar: Fire and Ash,2025,Sci-Fi/Action,"Jake and Neytiri encounter a new, aggressive volcanic tribe of Na'vi.",medium,english
338,Thunderbolts*,2025,Action/Superhero,A group of reformed villains is sent on a mission for the government.,medium,english
339,The Fantastic Four,2025,Action/Superhero,Marvel's first family must protect Earth from the planet-eating Galactus.,medium,english
340,Blade,2025,Action/Horror,"A half-human, half-vampire hunts the undead while protecting humanity.",medium,english
341,28 Years Later,2025,Horror/Sci-Fi,The long-awaited sequel set decades after the original viral outbreak in London.,medium,english
342,Five Nights at Freddy's 2,2025,Horror/Thriller,New animatronics and secrets await at the cursed pizzeria in this sequel.,medium,english
343,Iron Lung,2026,Horror/Sci-Fi,A convict is sent to explore a blood ocean on a distant moon in a rusting submarine.,medium,english
344,Whalefall,2026,Thriller/Survival,A scuba diver is swallowed whole by a whale and must escape before his air runs out.,medium,english
345,Mother Mary,2026,Thriller/Drama,A psychosexual thriller focusing on a pop star and her fashion designer confidante.,medium,english
346,Ready or Not 2,2026,Horror/Comedy,Grace is kidnapped by a high-council family and must survive their dangerous games.,medium,english
347,Send Help,2026,Thriller/Survival,Two people who can't stand each other are stranded on an island after a plane crash.,medium,english
348,How to Make a Killing,2026,Crime/Drama,A man decides to eliminate seven relatives who stand between him and his inheritance.,medium,english
349,The Muppet Show,2026,Comedy/Musical,Kermit and the gang return for a brand-new special event filled with music and guests.,medium,english
350,Zootopia 2,2025,Animation/Comedy,Judy Hopps and Nick Wilde investigate a new case involving a mysterious reptile.,medium,english
351,The Passion of the Christ: Resurrection,2025,Drama/History,The spiritual and physical journey of the Resurrection following the Crucifixion.,medium,english
352,F1,2025,Sports/Action,A former driver returns to Formula One to mentor a young and talented teammate.,medium,english
353,Now You See Me 3,2025,Mystery/Crime,"The Four Horsemen return for a new, mind-bending series of high-stakes illusions.",medium,english
354,The Black Phone 2,2025,Horror/Thriller,The terrifying Grabber returns in a new chapter of the supernatural thriller.,medium,english
355,Insidious: Thread,2025,Horror/Mystery,A family uses a spell to travel back in time to prevent their daughter's death.,medium,english
356,Wolf Man,2025,Horror/Thriller,A family is terrorized by a lethal predator while staying at a remote farmhouse.,medium,english
357,Companion,2025,Sci-Fi/Thriller,A futuristic story exploring a new kind of love story from the producers of Barbarian.,medium,english
358,Den of Thieves 2: Pantera,2025,Action/Crime,"Big Nick is back on the hunt in Europe, tracking down a diamond thief.",medium,english
359,Better Man,2024,Musical/Drama,"A unique musical biopic of Robbie Williams, portrayed as a chimpanzee.",medium,english
360,The Apprentice,2024,Biography/Drama,A look at the early career of Donald Trump and his relationship with Roy Cohn.,medium,english
361,Emilia Pérez,2024,Musical/Crime,A lawyer is hired by a cartel leader to help them undergo gender reassignment surgery.,medium,english
362,Lee,2024,Biography/War,"The story of Lee Miller, a fashion model who became a war correspondent.",medium,english
363,The Outrun,2024,Drama,A woman returns to her home in the Orkney Islands to cope with her past.,medium,english
364,Small Things Like These,2024,Drama,A coal merchant discovers disturbing secrets kept by the local convent.,medium,english
365,Nightbitch,2024,Comedy/Horror,A woman pauses her career to be a stay-at-home mom and starts to turn into a dog.,medium,english
366,Maria,2024,Biography/Drama,"The life story of Maria Callas, the world's greatest opera singer.",medium,english
367,Queer,2024,Drama/Romance,A man living in Mexico City becomes obsessed with a young student.,medium,english
368,The Brutalist,2024,Drama/History,An architect migrates to America and works on a project that defines his legacy.,medium,english
369,Blitz,2024,War/Drama,A group of Londoners tries to survive the aerial bombings of World War II.,medium,english
370,Unstoppable,2024,Sports/Biography,"The true story of Anthony Robles, who became a champion wrestler with one leg.",medium,english
371,The Last Showgirl,2024,Drama,A seasoned showgirl must plan her future when her show closes after 30 years.,medium,english
372,Hard Truths,2024,Drama/Comedy,An intimate look at the lives of people living in modern-day London.,medium,english
373,The Seed of the Sacred Fig,2024,Thriller/Drama,An investigating judge in Tehran deals with paranoia during political unrest.,medium,english
374,All We Imagine as Light,2024,Drama,Two nurses in Mumbai seek a place to find their desires and freedom.,medium,english
375,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Satire,An insane general triggers a path to nuclear apocalypse while politicians argue.,hard,english
376,The Unbearable Weight of Massive Talent,2022,Action/Comedy,Nicolas Cage plays a fictionalized version of himself caught in a drug lord's plot.,hard,english
377,The Assassination of Jesse James by the Coward Robert Ford,2007,Western,A slow-burn exploration of the relationship between a legendary outlaw and his killer.,hard,english
378,"Synecdoche, New York",2008,Drama/Surreal,A theatre director creates a life-sized replica of New York City inside a warehouse.,hard,english
379,The Killing of a Sacred Deer,2017,Psychological Horror,A surgeon is forced to make an unthinkable sacrifice after befriending a sinister teen.,hard,english
380,A Pigeon Sat on a Branch Reflecting on Existence,2014,Comedy/Drama,"A series of surreal, absurd sketches exploring the banality and tragedy of human life.",hard,english
381,Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror,1991,Parody,"A horror spoof with one of the longest, most nonsensical titles in cinema history.",hard,english
382,The Man Who Killed Don Quixote,2018,Adventure/Fantasy,An advertising executive travels through time and gets pulled into a deluded man's world.,hard,english
383,The Discreet Charm of the Bourgeoisie,1972,Surrealist,A group of upper-class friends repeatedly tries to have dinner but is interrupted.,hard,english
384,Rosencrantz & Guildenstern Are Dead,1990,Comedy/Drama,Two minor characters from Hamlet wander through the play unaware of their fate.,hard,english
385,Requiem for a Dream,2000,Drama,A harrowing look at four people whose lives spiral out of control due to drug addiction.,hard,english
386,"The Cook, the Thief, His Wife & Her Lover",1989,Crime/Drama,A restaurant setting becomes the site of a gruesome affair and a husband's revenge.,hard,english
387,Fear and Loathing in Las Vegas,1998,Adventure/Comedy,A journalist and his lawyer travel to Vegas under heavy drug influence to cover a race.,hard,english
388,8½,1963,Avant-garde,A film director struggles with creative block and retreats into memories and fantasies.,hard,english
389,Beau Is Afraid,2023,Surrealist/Horror,"A paranoid man embarks on an epic, nightmare-inducing odyssey to visit his mother.",hard,english
390,The Lobster,2015,Sci-Fi/Romance,"In a dystopian future, single people must find a partner in 45 days or be turned into animals.",hard,english
391,Cloud Atlas,2012,Sci-Fi/Drama,Multiple stories across different time periods show how souls are interconnected.,hard,english
392,Magnolia,1999,Drama,A mosaic of interrelated characters in search of love and forgiveness in California.,hard,english
393,Tumbbad,2018,Folk Horror,(Hindi/Intl) A family’s greed leads them to a cursed treasure protected by a fallen god.,hard,english
394,Mulholland Drive,2001,Neo-Noir/Mystery,An aspiring actress befriends an amnesiac woman following a car crash in L.A.,hard,english
395,Enter the Void,2009,Experimental,A drug dealer’s soul hovers over the neon streets of Tokyo after his death.,hard,english
396,Swiss Army Man,2016,Comedy/Drama,A man stranded on an island befriends a flatulent corpse to help him get home.,hard,english
397,The Banshees of Inisherin,2022,Black Comedy,Two lifelong friends find themselves at an impasse when one abruptly ends their bond.,hard,english
398,Pan's Labyrinth,2006,Dark Fantasy,A young girl in 1944 Spain escapes into a terrifying but beautiful fantasy world.,hard,english
399,Do the Right Thing,1989,Drama,Tensions rise in a Brooklyn neighborhood on the hottest day of the summer.,hard,english
400,"Three Billboards Outside Ebbing, Missouri",2017,Crime/Drama,A mother challenges local authorities to solve her daughter's murder using billboards.,hard,english
401,The Lighthouse,2019,Psychological Horror,Two lighthouse keepers descend into madness while stranded on a remote island.,hard,english
402,Everything is Illuminated,2005,Comedy/Drama,A young man travels to Ukraine to find the woman who saved his grandfather in WWII.,hard,english
403,Me and You and Everyone We Know,2005,Comedy/Drama,Interconnected stories about people searching for connection in the digital age.,hard,english
404,The Grandmaster,2013,Martial Arts/Drama,"A stylized biography of Ip Man, the legendary teacher of Bruce Lee.",hard,english
405,Amores Perros,2000,Crime/Thriller,A horrific car accident in Mexico City links three stories involving dogs and humans.,hard,english
406,Oldboy,2003,Action/Thriller,"A man is kidnapped and imprisoned for 15 years, then released to find his captor.",hard,english
407,Portrait of a Lady on Fire,2019,Romance/Drama,A female painter falls in love with the woman she is commissioned to paint in secret.,hard,english
408,Drive My Car,2021,Drama,A widowed actor finds solace in his young female driver during a theatre residency.,hard,english
409,In the Mood for Love,2000,Romance/Drama,Two neighbors form a bond after discovering their spouses are having an affair.,hard,english
410,Rashomon,1950,Crime/Mystery,"A murder is described from four different, conflicting perspectives by witnesses.",hard,english
411,I'm Thinking of Ending Things,2020,Psychological Thriller,"A woman travels with her new boyfriend to his parents' farm, but reality begins to shift.",hard,english
412,The Elephant Man,1980,Biography/Drama,A Victorian surgeon rescues a heavily disfigured man from a freak show.,hard,english
413,The Last Year at Marienbad,1961,Experimental,A man tries to convince a woman that they met and fell in love a year ago.,hard,english
414,Bicycle Thieves,1948,Drama,"In post-war Rome, a man and his son search for his stolen bicycle vital for his job.",hard,english
415,Metropolis,1927,Sci-Fi,"In a futuristic city, the son of a wealthy planner falls for a working-class prophet.",hard,english
416,Seven Samurai,1954,Action/Drama,A village hires seven masterless samurai to protect them from invading bandits.,hard,english
417,Blade Runner,1982,Sci-Fi/Noir,"A cop is tasked with hunting down and ""retiring"" rogue bioengineered humans.",hard,english
418,The Seventh Seal,1957,Fantasy/Drama,A knight plays a game of chess with Death to delay his fate during the Plague.,hard,english
419,Gone with the Wind,1939,Romance/History,A manipulative woman and a roguish man navigate the American Civil War.,hard,english
420,Citizen Kane,1941,Drama/Mystery,Reporters struggle to uncover the meaning of a publishing tycoon's final word.,hard,english
421,Casablanca,1942,Romance/War,An American expatriate must choose between his love and helping her husband escape.,hard,english
422,12 Angry Men,1957,Courtroom Drama,A jury of twelve men must decide the fate of a youth accused of murder.,hard,english
423,Psycho,1960,Horror/Thriller,A woman on the run stays at a remote motel run by a man under his mother's thumb.,hard,english
424,2001: A Space Odyssey,1968,Sci-Fi,Humanity discovers a mysterious monolith that triggers an evolutionary journey.,hard,english
425,The Exorcist,1973,Horror,A mother seeks help from two priests to save her daughter from a demonic possession.,hard,english
426,Alien,1979,Sci-Fi/Horror,The crew of a space vessel encounters a deadly extraterrestrial life form.,hard,english
427,The Shining,1980,Psychological Horror,A family stays at an isolated hotel where a sinister presence drives the father mad.,hard,english
428,Blue Velvet,1986,Neo-Noir,"A college student discovers a severed ear, leading him into a dark criminal world.",hard,english
429,Full Metal Jacket,1987,War/Drama,A pragmatic U.S. Marine observes the dehumanizing effects of the Vietnam War.,hard,english
430,Nomadland,2020,Drama,A woman in her sixties embarks on a journey through the American West as a nomad.,hard,english
431,Minari,2020,Drama,A Korean-American family moves to an Arkansas farm in search of their own American Dream.,hard,english
432,Belfast,2021,Biography/Drama,A young boy and his working-class family navigate the turmoil of 1960s Northern Ireland.,hard,english
433,The Whale,2022,Drama,"A reclusive, morbidly obese English teacher tries to reconnect with his teenage daughter.",hard,english
434,All Quiet on the Western Front,2022,War/Drama,A young German soldier's terrifying experiences on the front lines during WWI.,hard,english
435,The Fabelmans,2022,Biography/Drama,A young boy discovers a shattering family secret through his love of filmmaking.,hard,english
436,The Curious Case of Benjamin Button,2008,Fantasy/Drama,The story of a man who is born old and ages backward through the decades.,hard,english
437,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,Comedy/Drama,Cartographers visit a village and declare their local mountain is only a hill.,hard,english
438,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,Comedy,Three drag queens travel cross-country until their car breaks down in a small town.,hard,english
439,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Family/Comedy,A young boy experiences the most disastrous day of his life with his family.,hard,english
440,The Hunger Games: Sunrise on the Reaping,2026,Sci-Fi/Thriller,A prequel focusing on Haymitch Abernathy during the 50th Hunger Games.,hard,english
441,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,Art/Drama,A meticulously slow film about the daily routine of a widowed housewife.,hard,english
442,Birdman or (The Unexpected Virtue of Ignorance),2014,Comedy/Drama,A washed-up superhero actor tries to revive his career with a Broadway play.,hard,english
443,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,1971,Comedy/Drama,A successful songwriter struggles with his identity and a mysterious slanderer.,hard,english
444,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Parody/Comedy,"A spoof of 1990s ""urban"" dramas and hood films.",hard,english
445,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Fantasy,Two siblings return to Narnia to help a prince find lost lords at sea.,hard,english
446,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Mockumentary,A Kazakh journalist travels through the USA to learn about its culture.,hard,english
447,Sherlock Holmes: A Game of Shadows,2011,Mystery/Action,Holmes and Watson travel across Europe to stop Professor Moriarty's plot.,hard,english
448,The Lord of the Rings: The Fellowship of the Ring,2001,Fantasy,A small hobbit begins a journey to destroy a powerful and evil ring.,hard,english
449,The Last Voyage of the Demeter,2023,Horror/Thriller,A ship's crew is picked off by a hidden creature while sailing from Europe to London.,hard,english
450,Fried Green Tomatoes at the Whistle Stop Cafe,1991,Drama,A housewife befriends an elderly woman who tells stories of life in the 1920s.,hard,english
451,One Flew Over the Cuckoo's Nest,1975,Drama,A criminal fakes insanity to enter a mental institution and rebels against the nurse.,hard,english
452,The Taking of Pelham One Two Three,1974,Crime/Thriller,Armed men hijack a New York City subway train and demand a ransom.,hard,english
453,The Hudsucker Proxy,1994,Comedy/Fantasy,A naive mailroom clerk is promoted to CEO as part of a stock-market scam.,hard,english
454,"O Brother, Where Art Thou?",2000,Comedy/Adventure,Three escaped convicts search for hidden treasure during the Great Depression.,hard,english
455,Beasts of the Southern Wild,2012,Fantasy/Drama,A young girl lives in a sinking bayou community and faces a prehistoric threat.,hard,english
456,A Clockwork Orange,1971,Sci-Fi/Crime,A violent delinquent undergoes experimental therapy to cure his criminal urges.,hard,english
457,The Life Aquatic with Steve Zissou,2004,Comedy/Adventure,"An oceanographer hunts down a ""Jaguar Shark"" that ate his partner.",hard,english
